uid,sex,age,"langs"
87636447,2,,""
136854985,1,,""
135757088,2,,""
184859194,2,,""
214959689,1,,""
169793872,2,15,""
192031694,2,,""
185666921,2,,""
78730722,1,,""
112825340,1,38,""
62729419,2,17,""
307293364,1,15,""
294001669,1,15,""
221570664,1,,""
177353157,1,,""
155945423,1,,""
106444642,1,,""
102908279,1,,""
13017343,1,,""
168471290,1,,""
159746009,1,,""
137964264,2,18,""
133275570,1,18,""
131965374,2,,""
203081677,2,,""
199072523,1,,""
193466443,1,30,""
158562831,1,,"Русский,Deutsch,Українська"
157966624,2,17,""
153990223,1,21,""
149653743,1,23,""
142549014,2,,"Русский,English"
132434049,1,21,""
122196995,1,26,""
102001268,2,,""
100156808,1,18,""
99668221,1,20,""
81576845,2,25,""
49933476,1,,""
7561486,1,,""
217146973,1,,""
197608356,1,,""
186882147,1,39,""
180360702,1,23,""
177554491,2,,""
170457096,1,28,""
163646473,2,17,"Русский,English"
157255807,1,17,""
154324467,1,,""
146246252,2,,""
145208651,1,,""
141119959,1,20,""
135576081,1,,""
134242180,2,16,""
133993493,1,,""
132153027,1,,""
130491620,1,,""
124525490,2,27,""
123013532,1,22,""
95103775,1,,""
94249491,1,25,""
92776042,1,17,""
86795709,1,,""
83426305,1,,"Русский,English"
81084194,1,23,""
79362500,1,21,"Русский,Deutsch"
64628512,1,40,""
50605036,1,23,""
48396914,1,23,""
47809498,1,24,""
36652705,2,87,""
29209719,1,,""
21106609,1,23,""
15869911,1,,""
248378451,1,15,"Русский,English"
244340930,1,,""
237227640,1,,""
236306179,1,,""
221422786,2,15,"Русский,English"
221252791,1,24,"Русский,Українська"
218236162,1,,""
218232542,1,18,""
210323883,1,,""
210169847,1,,""
193385944,1,17,""
188364104,1,,""
181518660,1,,""
175700465,1,,""
173604203,2,19,"Русский,Українська,English,Deutsch,Français,Беларуская,Español,Татарча,Романи,Հայերեն,Azərbaycan dili,Алтай тил"
171165073,1,,""
170720488,1,,""
180829488,1,,""
169516325,1,,""
166144915,2,,""
159890920,1,14,""
156302976,2,,""
154033314,1,,""
153126972,1,,""
148279245,2,17,""
146553549,2,,""
145744037,1,,""
145487933,1,,""
144845589,2,20,"English,Français"
143527741,1,,""
141970838,2,,""
141224453,2,,""
138166851,2,,""
137885272,2,,""
135413458,1,,""
135190751,1,,""
133995305,2,,"Русский,English"
133606419,1,20,""
132518130,1,,""
132116546,1,21,""
126709681,1,20,""
125501357,1,,""
124344869,1,,""
123416275,1,,""
115761036,1,19,"Русский,English"
110100689,1,21,""
107775199,2,19,""
107132225,2,,""
153888225,1,20,""
102842933,1,29,""
99853297,2,,""
99822819,1,20,""
88239020,2,,""
71732108,1,,""
68362739,2,,""
67484935,2,20,""
62131785,1,,""
59736061,1,26,""
57884762,1,24,""
55703258,2,31,""
53897137,1,,""
45571143,1,17,""
